construction_name,wall_reference,edge_type,description_x,description_y,unit,u_w_per_m_k,material_opaque_id_layers,id_layers_quantity_multipliers
BTAP-Corner-1,BTAP-ExteriorWall-Mass-2 bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-Mass-2 good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-Mass-2b bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-Mass-2b good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-1 bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-1 good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-2 bad,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.3, continuous exterior horizontal metal girts",$/ft,0.15,0,3.3
BTAP-Corner-1,BTAP-ExteriorWall-SteelFramed-2 good,corner,"Exterior or Split Insulated Steel Framed Wall, or Exterior Insulated Concrete Wall, Corner Detail","BETB 5.6.1, thermally broken cladding attachment",$/ft,0.09,0,3.3
BTAP-Corner-2,BTAP-ExteriorWall-WoodFramed-5 good,corner,"Split Insulated Wood Framed Wall, Corner Detail","BETB 8.5.1, wood framed w/ continuous strapping fastened through ins.",$/ft,0.04,0,3.3
BTAP-Corner-2,BTAP-ExteriorWall-WoodFramed-7 good,corner,"Split Insulated Wood Framed Wall, Corner Detail","BETB 8.5.1, wood framed w/ continuous strapping fastened through ins.",$/ft,0.04,0,3.3
BTAP-Corner-4,BTAP-ExteriorWall-Mass-4 bad,corner,"Precast Concrete Panel, Corner Detail","BETB 7.1.8, vertical joint with concrete panel joint",$/ft,0.37,141,3.3
BTAP-Corner-4,BTAP-ExteriorWall-Mass-4 good,corner,"Precast Concrete Panel, Corner Detail","BETB 7.1.9, vertical joint, tigerloc thermal break or insulation completely to panel edge ",$/ft,0.16,141,1.25
BTAP-Corner-4,BTAP-ExteriorWall-Mass-8c bad,corner,"Precast Concrete Panel, Corner Detail","BETB 7.1.8, vertical joint with concrete panel joint",$/ft,0.37,141,3.3
BTAP-Corner-4,BTAP-ExteriorWall-Mass-8c good,corner,"Precast Concrete Panel, Corner Detail","BETB 7.1.9, vertical joint, tigerloc thermal break or insulation completely to panel edge ",$/ft,0.16,141,1.25
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-SteelFramed-1 bad,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.15, split insulated, thermal clips, windows aligned with framing/opening",$/ft,0.27,139,0.75
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-SteelFramed-1 good,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.13, split insulated, thermal clips, windows aligned with insulation",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-SteelFramed-2 bad,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.15, split insulated, thermal clips, windows aligned with framing/opening",$/ft,0.27,139,0.75
BTAP-GlazingPerimeter-2,BTAP-ExteriorWall-SteelFramed-2 good,fenestration,"Split Insulated Framed Wall, Window Perimeter Interface","BETB 5.3.13, split insulated, thermal clips, windows aligned with insulation",$/ft,0.078,139,0.5
BTAP-GlazingPerimeter-3,BTAP-ExteriorWall-WoodFramed-5 bad,fenestration,"Exterior Insulated Wall with Brick Veneer, Window Perimeter Interface","BETB 7.3.14,brick fully interupts exterior insulation at window perimeter returns",$/ft,0.27,0,0.5
BTAP-GlazingPerimeter-3,BTAP-ExteriorWall-WoodFramed-5 good,fenestration,"Exterior Insulated Wall with Brick Veneer, Window Perimeter Interface","BETB 7.3.15, brick partially interupts exterior insulation at window perimeter return (ie. At least 1"" ext. is maintained)",$/ft,0.078,0,0.5
BTAP-GlazingPerimeter-3,BTAP-ExteriorWall-WoodFramed-7 bad,fenestration,"Exterior Insulated Wall with Brick Veneer, Window Perimeter Interface","BETB 7.3.14,brick fully interupts exterior insulation at window perimeter returns",$/ft,0.27,0,0.5
BTAP-GlazingPerimeter-3,BTAP-ExteriorWall-WoodFramed-7 good,fenestration,"Exterior Insulated Wall with Brick Veneer, Window Perimeter Interface","BETB 7.3.15, brick partially interupts exterior insulation at window perimeter return (ie. At least 1"" ext. is maintained)",$/ft,0.078,0,0.5
BTAP-GlazingPerimeter-5,BTAP-ExteriorWall-Mass-4 good,fenestration,"Precast Concrete Panels, Window Perimeter Interface","BETB 7.3.5, panel insulation brought to panel edge, window aligned with insulation",$/ft,0.06,139,0.25
BTAP-GlazingPerimeter-5,BTAP-ExteriorWall-Mass-4 good,fenestration,"Precast Concrete Panels, Window Perimeter Interface","BETB 7.4.5, conrete panel edge, thermal break at window perimeter, window aligned with insulation",$/ft,0.078,"139,150","0.25,0.08333333333333333"
BTAP-GlazingPerimeter-5,BTAP-ExteriorWall-Mass-8c good,fenestration,"Precast Concrete Panels, Window Perimeter Interface","BETB 7.3.5, panel insulation brought to panel edge, window aligned with insulation",$/ft,0.06,139,0.25
BTAP-GlazingPerimeter-5,BTAP-ExteriorWall-Mass-8c good,fenestration,"Precast Concrete Panels, Window Perimeter Interface","BETB 7.4.5, conrete panel edge, thermal break at window perimeter, window aligned with insulation",$/ft,0.078,"139,150","0.25,0.08333333333333333"
BTAP-Grade-2,BTAP-ExteriorWall-SteelFramed-1 bad,grade,Split Insulated Steel Framed Wall to Grade Transition,"BETB 7.7.3, uninsulated foundation wall",$/ft,0.72,139,0.75
BTAP-Grade-2,BTAP-ExteriorWall-SteelFramed-1 good,grade,Split Insulated Steel Framed Wall to Grade Transition,"BETB 5.8.3, exterior insulated foundation wall",$/ft,0.47,"192,139","0.75,0.75"
BTAP-Grade-2,BTAP-ExteriorWall-SteelFramed-2 bad,grade,Split Insulated Steel Framed Wall to Grade Transition,"BETB 7.7.3, uninsulated foundation wall",$/ft,0.72,139,0.75
BTAP-Grade-2,BTAP-ExteriorWall-SteelFramed-2 good,grade,Split Insulated Steel Framed Wall to Grade Transition,"BETB 5.8.3, exterior insulated foundation wall",$/ft,0.47,"192,139","0.75,0.75"
BTAP-Grade-4,BTAP-ExteriorWall-WoodFramed-5 bad,grade,Split Insulated Wall with Brick Veneer to Grade Transition,"BETB 7.7.9, shelf angle on concrete foundation, uninsulated foundation wall",$/ft,0.55,"21,139","0.5,0.5"
BTAP-Grade-4,BTAP-ExteriorWall-WoodFramed-5 good,grade,Split Insulated Wall with Brick Veneer to Grade Transition,"BETB 5.2.33, fero-angle on concrete foundation , exteiror insulated foundation wall",$/ft,0.09,"189,139,192","0.5,0.5,0.5"
BTAP-Grade-4,BTAP-ExteriorWall-WoodFramed-7 bad,grade,Split Insulated Wall with Brick Veneer to Grade Transition,"BETB 7.7.9, shelf angle on concrete foundation, uninsulated foundation wall",$/ft,0.55,"21,139","0.5,0.5"
BTAP-Grade-4,BTAP-ExteriorWall-WoodFramed-7 good,grade,Split Insulated Wall with Brick Veneer to Grade Transition,"BETB 5.2.33, fero-angle on concrete foundation , exteiror insulated foundation wall",$/ft,0.09,"189,139,192","0.5,0.5,0.5"
BTAP-Grade-7,BTAP-ExteriorWall-Mass-4 bad,grade,Precast Concrete Panels to Grade Transition,"BETB 7.7.3, uninsulated foundation wall",$/ft,0.8,139,0.5
BTAP-Grade-7,BTAP-ExteriorWall-Mass-4 good,grade,Precast Concrete Panels to Grade Transition,"BETB 7.7.4, ext. insulated foundation wall aligned with panel insulation",$/ft,0.32,"192,139","0.5,0.5"
BTAP-Grade-7,BTAP-ExteriorWall-Mass-8c bad,grade,Precast Concrete Panels to Grade Transition,"BETB 7.7.3, uninsulated foundation wall",$/ft,0.8,139,0.5
BTAP-Grade-7,BTAP-ExteriorWall-Mass-8c good,grade,Precast Concrete Panels to Grade Transition,"BETB 7.7.4, ext. insulated foundation wall aligned with panel insulation",$/ft,0.32,"192,139","0.5,0.5"
BTAP-IntermediateFloorEdge-10,BTAP-ExteriorWall-Mass-2 bad,rimjoist,Brick Veneer Shelf Angle at Exterior Insulated CMU Wall ,"BETB 7.2.14, continuous angle on slab edge",$/ft,0.47,"21,172","0.5,0.25"
BTAP-IntermediateFloorEdge-10,BTAP-ExteriorWall-Mass-2 good,rimjoist,Brick Veneer Shelf Angle at Exterior Insulated CMU Wall ,"BETB 5.2.33, stand-off shelf angel (Fero Fast Angle Bracket)",$/ft,0.1,"189,172","0.25,0.5"
BTAP-IntermediateFloorEdge-10,BTAP-ExteriorWall-Mass-2b bad,rimjoist,Brick Veneer Shelf Angle at Exterior Insulated CMU Wall ,"BETB 7.2.14, continuous angle on slab edge",$/ft,0.47,"21,172","0.5,0.25"
BTAP-IntermediateFloorEdge-10,BTAP-ExteriorWall-Mass-2b good,rimjoist,Brick Veneer Shelf Angle at Exterior Insulated CMU Wall ,"BETB 5.2.33, stand-off shelf angel (Fero Fast Angle Bracket)",$/ft,0.1,"189,172","0.25,0.5"
BTAP-IntermediateFloorEdge-2,BTAP-ExteriorWall-SteelFramed-1 bad,rimjoist,Concrete Slab Edge at Split Insulated Steel Framed Wall and Metal Panel Cladding,"sim. To BETB 5.2.19, metal thru-wall flashing at slab edge",$/ft,0.28,139,10.0
BTAP-IntermediateFloorEdge-2,BTAP-ExteriorWall-SteelFramed-1 good,rimjoist,Concrete Slab Edge at Split Insulated Steel Framed Wall and Metal Panel Cladding,"BETB 5.2.35 no thru-wall flashing, thermal clips over slab edge",$/ft,0.09,172,0.5
BTAP-IntermediateFloorEdge-2,BTAP-ExteriorWall-SteelFramed-2 bad,rimjoist,Concrete Slab Edge at Split Insulated Steel Framed Wall and Metal Panel Cladding,"sim. To BETB 5.2.19, metal thru-wall flashing at slab edge",$/ft,0.28,139,10.0
BTAP-IntermediateFloorEdge-2,BTAP-ExteriorWall-SteelFramed-2 good,rimjoist,Concrete Slab Edge at Split Insulated Steel Framed Wall and Metal Panel Cladding,"BETB 5.2.35 no thru-wall flashing, thermal clips over slab edge",$/ft,0.09,172,0.5
BTAP-IntermediateFloorEdge-7,BTAP-ExteriorWall-WoodFramed-5 bad,rimjoist,"Brick Veneer Shelf Angle at Rim Joist, Split Insulated Wood Framed WalL","BETB 8.2.12, continuous shelf angle on rim joist",$/ft,0.05,"21,172","0.5,0.25"
BTAP-IntermediateFloorEdge-7,BTAP-ExteriorWall-WoodFramed-5 good,rimjoist,"Brick Veneer Shelf Angle at Rim Joist, Split Insulated Wood Framed WalL","BETB 8.2.15, offset shelft angle and membrane TWF",$/ft,0.03,"189,172","0.25,0.5"
BTAP-IntermediateFloorEdge-7,BTAP-ExteriorWall-WoodFramed-7 bad,rimjoist,"Brick Veneer Shelf Angle at Rim Joist, Split Insulated Wood Framed WalL","BETB 8.2.12, continuous shelf angle on rim joist",$/ft,0.05,"21,172","0.5,0.25"
BTAP-IntermediateFloorEdge-7,BTAP-ExteriorWall-WoodFramed-7 good,rimjoist,"Brick Veneer Shelf Angle at Rim Joist, Split Insulated Wood Framed WalL","BETB 8.2.15, offset shelft angle and membrane TWF",$/ft,0.03,"189,172","0.25,0.5"
BTAP-IntermediateFloorEdge-8,BTAP-ExteriorWall-Mass-4 bad,rimjoist,Precast Concrete Panels Intermediate Floor Edge Connection,"BETB 7.2.8, intermediate floor connection",$/ft,0.2,0,0.5
BTAP-IntermediateFloorEdge-8,BTAP-ExteriorWall-Mass-4 good,rimjoist,Precast Concrete Panels Intermediate Floor Edge Connection,"BETB 7.2.13, intermediate floor with FRP composite connection ",$/ft,0.02,0,0.5
BTAP-IntermediateFloorEdge-8,BTAP-ExteriorWall-Mass-8c bad,rimjoist,Precast Concrete Panels Intermediate Floor Edge Connection,"BETB 7.2.8, intermediate floor connection",$/ft,0.2,0,0.5
BTAP-IntermediateFloorEdge-8,BTAP-ExteriorWall-Mass-8c good,rimjoist,Precast Concrete Panels Intermediate Floor Edge Connection,"BETB 7.2.13, intermediate floor with FRP composite connection ",$/ft,0.02,0,0.5
BTAP-Parapet-2,BTAP-ExteriorWall-SteelFramed-1 bad,parapet,"Split Insulated Steel Framed Wall to Parapet Transition, Cladding or Brick Veneer","BETB 5.5.13, exposed concrete parapet on concrete slab over split ins. SS wall",$/ft,0.65,0,3.3
BTAP-Parapet-2,BTAP-ExteriorWall-SteelFramed-1 good,parapet,"Split Insulated Steel Framed Wall to Parapet Transition, Cladding or Brick Veneer","BETB 5.5.4, insulation wrapped concrete parapet on concrete slab over split ins. SS wall",$/ft,0.35,"57,139","3.3,3.3"
BTAP-Parapet-2,BTAP-ExteriorWall-SteelFramed-2 bad,parapet,"Split Insulated Steel Framed Wall to Parapet Transition, Cladding or Brick Veneer","BETB 5.5.13, exposed concrete parapet on concrete slab over split ins. SS wall",$/ft,0.65,0,3.3
BTAP-Parapet-2,BTAP-ExteriorWall-SteelFramed-2 good,parapet,"Split Insulated Steel Framed Wall to Parapet Transition, Cladding or Brick Veneer","BETB 5.5.4, insulation wrapped concrete parapet on concrete slab over split ins. SS wall",$/ft,0.35,"57,139","3.3,3.3"
BTAP-Parapet-3,BTAP-ExteriorWall-WoodFramed-5 good,parapet,"Split Insulated Wood Framed Wall to Roof Transition, cladding or brick veneer","BETB 8.4.1, low slope roof to vented wood framed parapet transition",$/ft,0.05,0,3.3
BTAP-Parapet-3,BTAP-ExteriorWall-WoodFramed-5 good,parapet,"Split Insulated Wood Framed Wall to Roof Transition, cladding or brick veneer","BETB 8.4.2, truss roof to wall transition, ceiling insulation reduced at wall",$/ft,0.07,190,0.5
BTAP-Parapet-3,BTAP-ExteriorWall-WoodFramed-7 good,parapet,"Split Insulated Wood Framed Wall to Roof Transition, cladding or brick veneer","BETB 8.4.1, low slope roof to vented wood framed parapet transition",$/ft,0.05,0,3.3
BTAP-Parapet-3,BTAP-ExteriorWall-WoodFramed-7 good,parapet,"Split Insulated Wood Framed Wall to Roof Transition, cladding or brick veneer","BETB 8.4.2, truss roof to wall transition, ceiling insulation reduced at wall",$/ft,0.07,190,0.5
BTAP-Parapet-4,BTAP-ExteriorWall-Mass-2 bad,parapet,"Exterior Insulated CMU Wall to Parapet Transition, Cladding or Brick Veneer","BETB 7.5.11, exposed CMU parapet on concrete slab over CMU wall",$/ft,0.5,0,0.5
BTAP-Parapet-4,BTAP-ExteriorWall-Mass-2 good,parapet,"Exterior Insulated CMU Wall to Parapet Transition, Cladding or Brick Veneer","BETB 7.5.12, insulation wrapped CMU parapet on concrete slab over Cmu wall",$/ft,0.23,"57,139","3.3,3.3"
BTAP-Parapet-4,BTAP-ExteriorWall-Mass-2b bad,parapet,"Exterior Insulated CMU Wall to Parapet Transition, Cladding or Brick Veneer","BETB 7.5.11, exposed CMU parapet on concrete slab over CMU wall",$/ft,0.5,0,0.5
BTAP-Parapet-4,BTAP-ExteriorWall-Mass-2b good,parapet,"Exterior Insulated CMU Wall to Parapet Transition, Cladding or Brick Veneer","BETB 7.5.12, insulation wrapped CMU parapet on concrete slab over Cmu wall",$/ft,0.23,"57,139","3.3,3.3"
BTAP-Parapet-6,BTAP-ExteriorWall-Mass-4 bad,parapet,Precast Concrete Panels Interface with Parapet,"BETB 7.5.4, exposed steel framed parapet inboard (roof side) of panel",$/ft,0.65,0,3.3
BTAP-Parapet-6,BTAP-ExteriorWall-Mass-4 good,parapet,Precast Concrete Panels Interface with Parapet,insulation wrapped parapet,$/ft,0.24,"57,139","3.3,3.3"
BTAP-Parapet-6,BTAP-ExteriorWall-Mass-8c bad,parapet,Precast Concrete Panels Interface with Parapet,"BETB 7.5.4, exposed steel framed parapet inboard (roof side) of panel",$/ft,0.65,0,3.3
BTAP-Parapet-6,BTAP-ExteriorWall-Mass-8c good,parapet,Precast Concrete Panels Interface with Parapet,insulation wrapped parapet,$/ft,0.24,"57,139","3.3,3.3"
