id,sheet,source,description,city,province_state,materialOpCost,laborOpCost,equipmentOpCost
240001,materials_glazing,placeholder,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",,,1347.755,129.514,0.0
240002,materials_glazing,placeholder,"Door, aluminum & glass, sliding patio, tempered glass, economy, 6'-0"" x 7'-0"" opening",,,10323.55,98.61,0.0
240003,materials_glazing,placeholder,"Door, aluminum & glass, sliding entrance, 5' x 7' door, electric operator, 12'-0"" x 7'-6"" opening",,,9423.3,3990.4,0.0
240004,materials_glazing,placeholder,"Door, aluminum & glass, mall front, fixed panels, aluminum finish, 48'-0"" x 9'-0"" opening",,,78012.0,2018.75,0.0
240005,materials_glazing,placeholder,"Windows, aluminum, sliding, insulated glass, 5' x 3'",,,275.755,534.848,0.0
240006,materials_glazing,placeholder,"Windows, wood, vinyl clad, casement, insulated glass, 6'-0"" x 4'-0""",,,3147.5,609.583,0.0
240007,materials_glazing,placeholder,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",,,1058.34,299.33,0.0
240008,materials_glazing,placeholder,"Windows, aluminum, double hung, insul.glass, 3'-0"" x 4'-0""",,,1129.275,349.074,0.0
100009,materials_glazing,placeholder,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",,,1059.0,723.85,0.0
100010,materials_glazing,placeholder,"Skylights, non venting, insulated, plexiglass dome with flush mount, 46"" x 46""",,,1827.75,217.62,0.0
100011,materials_glazing,placeholder,"Heat reflecting, solar film on glass, bronze, 20% VLT, excl. glass",,,7.468,2.114,0.0
100012,materials_glazing,placeholder,"Heat reflecting, solar film on glass, bronze, 50% VLT, excl. glass",,,0.668,27.657,0.0
100013,materials_glazing,placeholder,"Heat reflecting, solar film on glass, silver, 15% VLT, excl. glass",,,1.441,24.708,0.0
100014,materials_glazing,placeholder,"Heat reflecting, solar film on glass, silver, 35% VLT, excl. glass",,,2.538,17.531,0.0
100015,materials_glazing,placeholder,"Heat reflecting, solar film on glass, silver, 68% VLT, excl. glass",,,0.449,36.662,0.0
100016,materials_glazing,placeholder,"Heat reflecting, solar film on glass, neutral, 20% VLT, excl. glass",,,5.318,36.653,0.0
101917,materials_glazing,custom,"kawneer 1600 UT System 1, 1"" glass, warm edge spacer, U=1.81W/m2K",VANCOUVER,BRITISH COLUMBIA,168.785,0.0,0.0
101918,materials_glazing,custom,"kawneer 1600 UT System 1, triple glazed, 1"" glass, warm edge spacer, U=1.25 W/m2K",VANCOUVER,BRITISH COLUMBIA,330.612,0.0,0.0
101919,materials_glazing,custom,"Starline 9600 Window wall, double glazed, 1 low-e and argon illed IGU  U=1.83 W/m2K",VANCOUVER,BRITISH COLUMBIA,497.512,0.0,0.0
101920,materials_glazing,custom,"Starline 9600 Window wall, triple glazed, 2x low-e and argon filled IGU  U=1.01W/m2K",VANCOUVER,BRITISH COLUMBIA,314.082,0.0,0.0
101921,materials_glazing,custom,"Starline 7100 double glazed, 1/2"" aluminum spacer bar, no low-e, air filled IGU, U<2.1",VANCOUVER,BRITISH COLUMBIA,173.071,0.0,0.0
101922,materials_glazing,custom,"Starline 7100 double glazed, 1/2"" aluminum spacer bar, 1x low-e, argon filled IGU, U=1.59 w/m2K",VANCOUVER,BRITISH COLUMBIA,93.12,0.0,0.0
101923,materials_glazing,custom,"Starline 7100 double glazed, 13.6mm WE Spacer, 2x low-e, argon filled IGU, U=1.25W/m2K",VANCOUVER,BRITISH COLUMBIA,100.786,0.0,0.0
101924,materials_glazing,custom,"wood finished look vinyl, Innotech Defender 76TS double Glazed, U=1.4W/m2K",VANCOUVER,BRITISH COLUMBIA,237.323,100.445,0.0
101925,materials_glazing,custom,"wood finished look vinyl, Innotech Defender 88PH Pro, triple glazed, U=0.76W/m2K",VANCOUVER,BRITISH COLUMBIA,66.02,45.859,0.0
101926,materials_glazing,custom,"Kawneer 451 UT System, U=1.7 W/m2K, or Alumicor FlushGlaze 3400, triple glazed U=1.53 W/m2K",VANCOUVER,BRITISH COLUMBIA,496.249,0.0,0.0
101927,materials_glazing,custom,"Fixed window Cascadia Universal Series, double glazed, 2x low-e coatings, Stainless Steel Spacer, U=1.13W/m2K",VANCOUVER,BRITISH COLUMBIA,257.682,78.999,0.0
101928,materials_glazing,custom,"Fixed window Cascadia Universal Series, triple glazed, 3x low-e coatings, tri-seal spacer, U=0.77W/m2K",VANCOUVER,BRITISH COLUMBIA,150.972,62.794,0.0
101929,materials_glazing,custom,"Starline 4500 T, double glazed, 1 low-e coating, argon filled IG & TGI Spacer, U=2.29W/m2K",VANCOUVER,BRITISH COLUMBIA,18.756,0.0,0.0
101930,materials_glazing,custom,"Reynaers Aluminum CP 155-LS, double glazed, U=1.7 W/m2K",VANCOUVER,BRITISH COLUMBIA,554.009,0.0,0.0
101931,materials_glazing,custom,"Reynaers Aluminum CP 155-LS, triple glazed, U=1.2 W/m2K",VANCOUVER,BRITISH COLUMBIA,218.98,0.0,0.0
101932,materials_glazing,custom,"Starline 9502 double glazed swing door, low-e coating, argon filled IGU, TGI Spacer, U=2.36W/m2K",VANCOUVER,BRITISH COLUMBIA,578.776,0.0,0.0
101933,materials_glazing,custom,"Reynaers Aluminum Masterline 8, double glazed, U=1.42 W/m2K",VANCOUVER,BRITISH COLUMBIA,1299.436,0.0,0.0
101934,materials_glazing,custom,"Reynaers Aluminum Masterline 10, triple glazed, U=0.9 W/m2K",VANCOUVER,BRITISH COLUMBIA,559.524,0.0,0.0
101935,materials_glazing,custom,"Swing door Cascadia Universal Series, double glazed, 2x low-e coatings, Stainless Steel Spacer, U=1.13W/m2K",VANCOUVER,BRITISH COLUMBIA,435.777,2.994,0.0
101936,materials_glazing,custom,"Swing door Cascadia Universal Series, triple glazed, 3x low-e coatings, tri-seal spacer, U=0.77W/m2K",VANCOUVER,BRITISH COLUMBIA,580.455,68.331,0.0
101937,materials_glazing,custom,"Kawneer 2000, pressure plate glazing or SSG system, double glazed 1 low-e ",VANCOUVER,BRITISH COLUMBIA,350.204,0.0,0.0
101938,materials_glazing,custom,"wood finished look vinyl, Innotech Defender 76TS triple Glazed, U=0.92W/m2K",VANCOUVER,BRITISH COLUMBIA,236.292,80.791,0.0
101939,materials_glazing,custom,upcharge for glazing Low-e films- within IGU,VANCOUVER,BRITISH COLUMBIA,32.702,0.0,0.0
101940,materials_glazing,custom,upcharge for glazing Low-e films- hard coat interior pane,VANCOUVER,BRITISH COLUMBIA,5.58,0.0,0.0
101941,materials_glazing,custom,upcharge to triple glazing from double glazing,VANCOUVER,BRITISH COLUMBIA,178.28,0.0,0.0
101942,materials_glazing,custom,upcharge to structural design upgrades to glazing frames to suit quad glazing (15% upcharge),VANCOUVER,BRITISH COLUMBIA,2.857,0.0,0.0
110017,materials_opaque,placeholder,"Gypsum wallboard, on walls, standard, 1/2"" thick, finish excluded",,,2.885,2.416,0.0
240018,materials_opaque,placeholder,"Brick veneer wall, standard face, 2x6 studs @ 16"" back-up, running bond",,,47.188,54.382,0.0
090019,materials_opaque,placeholder,"Vapor retarders, building paper, polyethylene vapor barrier, standard, 4 mil (.004"" thick), 9' x 400' roll",,,5.704,76.661,0.0
090020,materials_opaque,placeholder,"Blanket insulation, for walls or ceilings, foil faced fiberglass, 6"" thick, R21, 15"" wide",,,4.916,1.546,0.0
080021,materials_opaque,placeholder,"Sheathing, plywood on walls, CDX, 1/2"" thick, pneumatic nailed",,,2.459,0.695,0.0
090022,materials_opaque,placeholder,"Weather barriers, building paper, spun bonded polyethylene",,,0.603,0.202,0.0
090023,materials_opaque,placeholder,"Wood siding, boards, redwood, tongue & groove, ""B"" grade, 1"" x 8""",,,36.198,7.442,0.0
110024,materials_opaque,placeholder,"Paints & coatings, siding, misc., smooth wood(butt, T&G, beveled, drop, or B&B siding), waterproof sealer, first coat, spray",,,0.069,0.352,0.0
110025,materials_opaque,placeholder,"Paints & coatings, siding, exterior, Texture 1-111 or clapboard, oil base, stain 2 coats, spray",,,0.293,0.601,0.0
070026,materials_opaque,placeholder,"Partition, galvanized LB studs, 16 ga x 3-5/8"" W studs 16"" OC x 10' H, incl galvanized top & bottom track, excl openings, headers, beams, bracing & bridging",,,49.3,38.726,0.0
090027,materials_opaque,placeholder,"Polymer based exterior insulation and finish system, field applied, 2"" EPS insulation",,,1.763,24.271,0.466
090028,materials_opaque,placeholder,"Vinyl siding, clapboard profile, woodgrain texture, .048 thick, single 8""",,,12.942,5.322,0.0
240029,materials_opaque,placeholder,"Wood siding, 2""x6"" studs 16""OC, insulated wall, 8"" plain vinyl siding",,,17.928,14.436,0.0
070030,materials_opaque,placeholder,"Metal decking, steel edge closure form, galvanized, with 2 bends, 12"" wide, 18 gauge",,,22.002,7.594,1.842
090031,materials_opaque,placeholder,"Steel siding, colored, corrugated or ribbed, on steel frame, 10 year finish, 24 gauge, incl. fasteners",,,8.329,9.478,0.0
090032,materials_opaque,placeholder,"Aluminum siding, closure strips, corrugated, .032"" thick",,,5.467,11.516,0.0
240033,materials_opaque,placeholder,"Metal siding, steel, corrugated or ribbed, 24 ga, .0239"" thick, colored",,,14.674,13.388,0.029
060034,materials_opaque,placeholder,"Brick walls, alt method of estimating by square foot, common brick, 6.75 brick per square foot, 4"" thick wall, incl mortar, 3% brick waste and 25% mortar waste, vertical reinforcement and grout, excl scaffolding & horizontal joint reinforcement",,,12.049,33.691,0.0
070035,materials_opaque,placeholder,"Lintel angle, structural, unpainted, under 500 lb., shop fabricated",,,4.79,0.168,0.0
240036,materials_opaque,placeholder,"Brick veneer wall, glazed face, 2x6 studs @ 16"" back-up, running bond",,,89.745,6.86,0.0
060037,materials_opaque,placeholder,"Concrete block partitions, normal weight blocks, 2000 psi, 6"" x 8"" x 16"", tooled joints both sides, includes mortar, excludes scaffolding, horizontal reinforcing, vertical reinforcing and grout",,,9.241,18.872,0.0
060038,materials_opaque,placeholder,"Masonry reinforcing bars, ladder type steel joint reinforcing, mill standard galvanized, 6"" wall, 9 ga. sides, 9 ga. ties",,,10.2,24.642,0.0
060039,materials_opaque,placeholder,"Masonry reinforcing bars, #5 and #6 reinforcing steel bars, placed vertically, ASTM A615",,,5.142,1.401,0.0
060040,materials_opaque,placeholder,"Control joint, PVC, for double wythe 8"" minimum wall (Brick/CMU)",,,0.817,0.536,0.0
060041,materials_opaque,placeholder,"Grout, concrete masonry unit (CMU) cores, 8"" thick, 0.258 C.F./S.F., pumped, excludes blockwork",,,7.368,0.296,1.214
090042,materials_opaque,placeholder,"Wall insulation, rigid, extruded polystyrene, 25 psi compressive strength, 3"" thick, R15",,,7.442,0.335,0.0
090043,materials_opaque,placeholder,"Blanket insulation, for walls or ceilings, foil faced fiberglass, 3-1/2"" thick, R13, 23"" wide",,,1.605,1.282,0.0
010044,materials_opaque,placeholder,"Crane crew, daily use for small jobs, 80-ton truck-mounted hydraulic crane, portal to portal",,,0.0,5312.175,10715.25
020045,materials_opaque,placeholder,"C.I.P. concrete forms, slab on grade, edge, wood, to 6"" high, 4 use, includes erecting, bracing, stripping and cleaning",,,1.368,2.137,0.0
